tconst;title
tt1210819;The Lone Ranger (2013)
tt1211837;Doctor Strange (2016)
tt1211956;Escape Plan (2013)
tt1213663;The World's End (2013)
tt1217209;Brave (2012)
tt1219289;Limitless (2011)
tt1219827;Ghost in the Shell (2017)
tt1220719;Ip Man (2008)
tt1228705;Iron Man 2 (2010)
tt1229238;Mission: Impossible - Ghost Protocol (2011)
tt1232829;21 Jump Street (2012)
tt1245492;This Is the End (2013)
tt1245526;RED (2010)
tt1250777;Kick-Ass (2010)
tt1270797;Venom (2018)
tt1270798;X-Men: First Class (2011)
tt1276104;Looper (2012)
tt1285016;The Social Network (2010)
tt1291150;Teenage Mutant Ninja Turtles (2014)
tt1298650;Pirates of the Caribbean: On Stranger Tides (2011)
tt1300854;Iron Man 3 (2013)
tt1302006;The Irishman (2019)
tt1302011;Kung Fu Panda 2 (2011)
tt1320253;The Expendables (2010)
tt1321870;Gangster Squad (2013)
tt1323594;Despicable Me (2010)
tt1340138;Terminator Genisys (2015)
tt1340800;Tinker Tailor Soldier Spy (2011)
tt1343092;The Great Gatsby (2013)
tt1343727;Dredd (2012)
tt1345836;The Dark Knight Rises (2012)
tt1355644;Passengers (2016)
tt1371111;Cloud Atlas (2012)
tt1375666;Inception (2010)
tt1375670;Grown Ups (2010)
tt1385826;The Adjustment Bureau (2011)
tt1386588;The Other Guys (2010)
tt1386703;Total Recall (2012)
tt1392170;The Hunger Games (2012)
tt1392190;Mad Max: Fury Road (2015)
tt1392214;Prisoners (2013)
tt1397280;Taken 2 (2012)
tt1399103;Transformers: Dark of the Moon (2011)
tt1403865;True Grit (2010)
tt1408101;Star Trek Into Darkness (2013)
tt1409024;Men in Black 3 (2012)
tt1430132;The Wolverine (2013)
tt1446714;Prometheus (2012)
tt1453405;Monsters University (2013)
tt1454468;Gravity (2013)
tt1478338;Bridesmaids (2011)
tt1483013;Oblivion (2013)
tt1485796;The Greatest Showman (2017)
tt1490017;The Lego Movie (2014)
tt1499658;Horrible Bosses (2011)
tt1504320;The King's Speech (2010)
tt1515091;Sherlock Holmes: A Game of Shadows (2011)
tt1535108;Elysium (2013)
tt1535109;Captain Phillips (2013)
tt1542344;127 Hours (2010)
tt1570728;Crazy, Stupid, Love. (2011)
tt1596363;The Big Short (2015)
tt1599348;Safe House (2012)
tt1601913;The Grey (2011)
tt1606378;A Good Day to Die Hard (2013)
tt1623205;Oz the Great and Powerful (2013)
tt1631867;Edge of Tomorrow (2014)
tt1637725;Ted (2012)
tt1638355;The Man from U.N.C.L.E. (2015)
tt1646971;How to Train Your Dragon 2 (2014)
tt1649419;The Impossible (2012)
tt1650062;Super 8 (2011)
tt1659337;The Perks of Being a Wallflower (2012)
tt1663202;The Revenant (2015)
tt1663662;Pacific Rim (2013)
tt1670345;Now You See Me (2013)
tt1677720;Ready Player One (2018)
tt1690953;Despicable Me 2 (2013)
tt1706620;Snowpiercer (2013)
tt1707386;Les Misérables (2012)
tt1723121;We're the Millers (2013)
tt1723811;Shame (2011)
tt1731141;Ender's Game (2013)
tt1735898;Snow White and the Huntsman (2012)
tt1748122;Moonrise Kingdom (2012)
tt1764651;The Expendables 2 (2012)
tt1772341;Wreck-It Ralph (2012)
tt1790809;Pirates of the Caribbean: Dead Men Tell No Tales (2017)
tt1790885;Zero Dark Thirty (2012)
tt1798684;Southpaw (2015)
tt1798709;Her (2013)
tt1800241;American Hustle (2013)
tt1815862;After Earth (2013)
tt1823672;Chappie (2015)
tt1825683;Black Panther (2018)
tt1843866;Captain America: The Winter Soldier (2014)
tt1853728;Django Unchained (2012)
tt1855199;End of Watch (2012)
